video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed
vCICiSAJsfM,17.18.11,Journal de bord de Jean-Marie Le Pen n°490,Jean-Marie Le Pen,25,2017-11-17T17:00:58.000Z,"jean-marie le pen""|""front national""|""marine le pen""|""france""|""politique""|""journal""|""de""|""bord""|""media""|""fn""|""sarkozy""|""mlp""|""presidentielles""|""trump""|""hidalgo""|""rugby""|""immigration",3988,0,0,0,https://i.ytimg.com/vi/vCICiSAJsfM/default.jpg,True,False
YxOIEYFkAZQ,17.19.11,"Tensions lors d'une manif contre l'esclavage en Libye (18 novembre 2017, Champs Elysées, Paris)",CLNEWS,25,2017-11-18T19:45:17.000Z,"CLNEWS clement Lanot""|""news""|""actu""|""france",6261,0,0,0,https://i.ytimg.com/vi/YxOIEYFkAZQ/default.jpg,True,False
Yr0EGzcS3e8,17.19.11,Diesel à la casse : quel avenir pour la voiture ? #cdanslair 18.11.2017,C dans l'air,24,2017-11-18T18:07:21.000Z,"voiture""|""écologie""|""pollution""|""diesel""|""électrique""|""transport""|""essence",4181,16,5,0,https://i.ytimg.com/vi/Yr0EGzcS3e8/default.jpg,True,False
0Vy8UIIEdKI,17.19.11,Claude François n'est pas mort dans sa baignoire,6Medias,22,2017-11-18T12:56:47.000Z,"PEOPLE""|""Claude François""|""mort""|""chanteur""|""révélations",6843,0,0,0,https://i.ytimg.com/vi/0Vy8UIIEdKI/default.jpg,True,False
YvIfyxJ7B3w,17.20.11,Vif échange entre Aymeric Caron et Yann Moix #ONPC,On n'est pas couché,24,2017-11-19T00:30:42.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""18 novembre 2017""|""aymeric caron",224880,0,0,0,https://i.ytimg.com/vi/YvIfyxJ7B3w/default.jpg,True,False
J7zof4I8Wx4,17.20.11,Sarounette : RANGER SA CHAMBRE,Sarounette *,10,2017-11-19T08:35:11.000Z,"sarounette""|""ranger sa chambre""|""comptines""|""ludique""|""chanteuse pour enfants""|""anne sylvaistre""|""henry dès",10376,144,67,0,https://i.ytimg.com/vi/J7zof4I8Wx4/default.jpg,True,False
UvE73kS7LG8,17.20.11,"Anes Tina Rani za3fane , راني زعفان",Anes Tina,23,2017-11-17T16:57:32.000Z,"anes tina""|""rani zaafan""|""أنس تينا",2962946,292529,4629,0,https://i.ytimg.com/vi/UvE73kS7LG8/default.jpg,True,False
FL0Eym7uH_o,17.20.11,REPLAY - Fête nationale 2017,MonacoInfo,25,2017-11-19T12:28:56.000Z,[none],6447,43,7,0,https://i.ytimg.com/vi/FL0Eym7uH_o/default.jpg,True,False
QfCXa2rG6UM,17.21.11,"B. Tapie, en larmes, mon cancer j'ai envie de lui péter la gu...le 19/11",broudge03,25,2017-11-19T20:53:24.000Z,"BERNARD TAPIE""|""cancer bernard tapie""|""maladie bernard tapie""|""jean luc mélenchon""|""alain finkielkraut""|""michel onfray""|""natasha polony",100499,0,0,0,https://i.ytimg.com/vi/QfCXa2rG6UM/default.jpg,True,False
YvIfyxJ7B3w,17.21.11,Vif échange entre Aymeric Caron et Yann Moix #ONPC,On n'est pas couché,24,2017-11-19T00:30:42.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""18 novembre 2017""|""aymeric caron",344862,0,0,0,https://i.ytimg.com/vi/YvIfyxJ7B3w/default.jpg,True,False
ZFuaXqHnFdo,17.21.11,Les maires peuvent-ils faire plier Macron ? #cdanslair 20.11.2017,C dans l'air,24,2017-11-20T18:04:27.000Z,"Politique""|""territoire""|""maire""|""Emmanuel Macron""|""taxe d'habitation""|""dotations publiques""|""impots""|""collectivités locales",7281,40,9,0,https://i.ytimg.com/vi/ZFuaXqHnFdo/default.jpg,True,False
oeg16oq5vOY,17.21.11,Le Tour anniversaire E&R : Lille – L’intervention de Pierre Hillard,ERTV Officiel,25,2017-11-20T18:12:22.000Z,"Hillard""|""Judaïsme""|""Mondialisme",4706,0,0,0,https://i.ytimg.com/vi/oeg16oq5vOY/default.jpg,True,False
-9aFXjXu0XE,17.21.11,Johnny Hallyday : la jolie surprise du célèbre chef Jean Imbert,6Medias,25,2017-11-20T15:16:58.000Z,"PEOPLE""|""France""|""Johnny Hallyday""|""Jean Imbert""|""Chef",3783,0,0,0,https://i.ytimg.com/vi/-9aFXjXu0XE/default.jpg,True,False
og_pKZgceRk,17.22.11,"Vaincre l'épuisement, un plan radical en 20 minutes ! - www.regenere.org",Regenere / Thierry Casasnovas,27,2017-11-21T06:34:06.000Z,"jeûne""|""fasting""|""cru""|""crudivore""|""frugivore""|""végétalien""|""végétarien""|""80/10/10""|""fruits""|""énergie""|""régénérer""|""détoxiner""|""régénération""|""détoxination""|""dépression""|""diabète""|""hypertension""|""vivrecru""|""thierry casasnovas""|""guérir""|""santé""|""raw food""|""low fat raw vegan""|""vegan""|""lifestyle",16049,1090,35,0,https://i.ytimg.com/vi/og_pKZgceRk/default.jpg,True,False
QfCXa2rG6UM,17.22.11,"B. Tapie, en larmes, mon cancer j'ai envie de lui péter la gu...le 19/11",broudge03,25,2017-11-19T20:53:24.000Z,"BERNARD TAPIE""|""cancer bernard tapie""|""maladie bernard tapie""|""jean luc mélenchon""|""alain finkielkraut""|""michel onfray""|""natasha polony",203450,0,0,0,https://i.ytimg.com/vi/QfCXa2rG6UM/default.jpg,True,False
4KeoAM_6AIY,17.22.11,Merkel : la patronne en danger ! #cdanslair 21.11.2017,C dans l'air,24,2017-11-21T18:15:51.000Z,"merkel""|""Allemagne""|""France""|""macron""|""migrants""|""Politique""|""gouvernement""|""extrême droite""|""parlement""|""chancelière""|""Europe""|""union européenne""|""UE",8534,37,9,0,https://i.ytimg.com/vi/4KeoAM_6AIY/default.jpg,True,False
YvIfyxJ7B3w,17.22.11,Vif échange entre Aymeric Caron et Yann Moix #ONPC,On n'est pas couché,24,2017-11-19T00:30:42.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""18 novembre 2017""|""aymeric caron",378622,0,0,0,https://i.ytimg.com/vi/YvIfyxJ7B3w/default.jpg,True,False
Pq38VtiD-80,17.22.11,Préparer Noël (3) : 1 semaine avant d'entrer dans l'Avent,COOK WITH ME,26,2017-11-21T16:12:13.000Z,"#astucesmaison""|""#organisation""|""#joiedevivre""|""#petitsbonheurs""|""#joiessimples""|""#viedefamille""|""avent""|""décorationsdenoël""|""noël""|""préparatifsdenoël""|""décodenoël",3265,0,0,0,https://i.ytimg.com/vi/Pq38VtiD-80/default.jpg,True,False
GqvGSni1fog,17.22.11,Kisabac Lusamutner eter 21.11.17 Erku Tarberak,KisabacLusamutner,29,2017-11-21T17:16:25.000Z,"Kisabac""|""Lusamutner""|""hrach""|""muradyan""|""archy""|""atv""|""hayastan""|""armenia""|""erevan""|""yerevan""|""tv""|""haykakan""|""irakan""|""patmutyunner""|""depqer""|""herustatesutyan""|""tiv""|""mek""|""talk""|""show""|""կիսաբաց""|""լուսամուտներ""|""հրաչ""|""մուրադյան""|""արչի""|""հայաստան""|""արմենիա""|""երևան""|""2017""|""Nor""|""Eterashrjan""|""Նոր""|""eter""|""եթեր""|""ԵՐԵՎԱՆ""|""Yerevan""|""21.11.2017""|""ԵՐԿՈՒ""|""ՏԱՐԲԵՐԱԿ""|""Erku""|""Tarberak",30007,124,20,0,https://i.ytimg.com/vi/GqvGSni1fog/default.jpg,True,False
mwkkaPda-vU,17.22.11,Le matin je dois prier Al fajr ou Sobh ?  Rachid ElJay,Pr. Rachid Eljay chaine officielle 1,27,2017-11-20T19:38:43.000Z,"Rachid""|""Imam""|""El""|""jay""|""Abou""|""houdeyfa""|""Islam""|""Allah""|""mosquée""|""Brest""|""mort""|""musulman""|""tombe""|""tawhid""|""soeurs""|""mariage""|""divorce""|""dépression""|""angoisse""|""religion""|""soucis""|""Eljay""|""maliki""|""madhab""|""maroc""|""sunna""|""hadith""|""ccib""|""centre""|""culturel""|""paradis""|""enfer""|""hijab""|""voile""|""fiqh""|""'aquida""|""tafsir""|""hanifa""|""shafi'i""|""ahmed""|""aumone""|""invocation""|""média""|""imam""|""uoif""|""cfcm""|""prophète""|""Dieu""|""ange""|""jinn""|""sermon""|""conférence""|""tolérance""|""algérie""|""tunisie""|""sénegale""|""fajr""|""sobh",10476,707,6,0,https://i.ytimg.com/vi/mwkkaPda-vU/default.jpg,True,False
-2lFjJkwWxc,17.23.11,Ecriture inclusive : le 1er ministre s’en mêle ! #cdanslair 22.11.2017,C dans l'air,24,2017-11-22T18:17:27.000Z,"ecriture inclusive""|""langue""|""français""|""anglais""|""écrivain""|""écrivaine""|""académie française",6641,26,6,0,https://i.ytimg.com/vi/-2lFjJkwWxc/default.jpg,True,False
1lGHZ5NMHRY,17.23.11,Holiday — Sway — Apple,Apple,28,2017-11-22T20:00:01.000Z,"airpods""|""airpods dancing ad""|""airpods snow ad""|""airpods holiday ad""|""airpods sway""|""apple""|""apple dancing ad""|""apple snow ad""|""apple holiday""|""apple holiday ad""|""apple sway""|""iphone""|""iphone dancing ad""|""iphone snow ad""|""iphone holiday""|""iphone holiday ad""|""iphone sway""|""iphone x""|""iphone x snow ad""|""iphone x holiday""|""iphone x holiday ad""|""iphone x sway""|""christopher grant""|""lauren yelango-grant""|""sam smith ad""|""sam smith palace""|""move someone this""|""holiday""|""sway",259925,12871,1012,0,https://i.ytimg.com/vi/1lGHZ5NMHRY/default.jpg,True,False
qHHb3N4pwPU,17.23.11,Un sprint entre les balles: l'impressionnante défection d'un nord-coréen,L'Express,25,2017-11-22T09:47:35.000Z,"corée du nord""|""soldat""|""défection""|""blessé",4273,0,0,0,https://i.ytimg.com/vi/qHHb3N4pwPU/default.jpg,True,False
xX513GgnatE,17.23.11,Diriliş 'Ertuğrul' 97. Bölüm 1. Fragmanı,TRT 1,24,2017-11-22T20:45:57.000Z,"trt""|""trt1",205727,0,0,0,https://i.ytimg.com/vi/xX513GgnatE/default.jpg,True,False
dEyBa888ZmE,17.23.11,Vienne : un homme fauché par un train alors qu'il fuyait la police,France 3 Auvergne-Rhône-Alpes,25,2017-11-22T17:52:42.000Z,"France3""|""France""|""Télévisions""|""Auvergne-Rhône-Alpes""|""#Police #Train""|""#Isère""|""#Justice",2307,18,1,0,https://i.ytimg.com/vi/dEyBa888ZmE/default.jpg,True,False
og_pKZgceRk,17.23.11,"Vaincre l'épuisement, un plan radical en 20 minutes ! - www.regenere.org",Regenere / Thierry Casasnovas,27,2017-11-21T06:34:06.000Z,"jeûne""|""fasting""|""cru""|""crudivore""|""frugivore""|""végétalien""|""végétarien""|""80/10/10""|""fruits""|""énergie""|""régénérer""|""détoxiner""|""régénération""|""détoxination""|""dépression""|""diabète""|""hypertension""|""vivrecru""|""thierry casasnovas""|""guérir""|""santé""|""raw food""|""low fat raw vegan""|""vegan""|""lifestyle",20872,1287,41,0,https://i.ytimg.com/vi/og_pKZgceRk/default.jpg,True,False
3nvdW_o8LqY,17.24.11,Olivier KALABASI & Eunice KUTINO,Mike KILEKI OFFICIEL,22,2017-11-23T15:47:43.000Z,OLIVIER KALABASI,13476,461,28,0,https://i.ytimg.com/vi/3nvdW_o8LqY/default.jpg,True,False
699_9imQrYI,17.24.11,Macron affronte les maires #cdanslair 23.11.2017,C dans l'air,24,2017-11-23T18:20:57.000Z,"macron""|""maires""|""élus locaux""|""communes""|""petites communes""|""villes",6671,34,17,0,https://i.ytimg.com/vi/699_9imQrYI/default.jpg,True,False
yfObh93krmE,17.24.11,Communication Nonviolente : Je ne suis pas une Girafe !,Isabelle Padovani,27,2017-11-23T13:25:17.000Z,"isabelle padovani""|""cnv""|""communication nonviolente""|""non-violence""|""nonviolent communication""|""nvc""|""empathie""|""communification""|""bienveillance""|""bonheur""|""paix""|""couple""|""amour""|""dépendance""|""dépression""|""jalousie""|""éveil""|""illumination""|""non-dualité""|""advaita""|""spiritualité""|""méditation""|""spirituel""|""adyashanti""|""gangaji""|""mooji""|""poonja""|""ramana""|""francis lucille""|""david ciussi""|""rupert spira""|""arnaud desjardins""|""eckhart tolle""|""jeff foster""|""bentinho massaro""|""darpan""|""eric baret""|""claudette vidal""|""girafe",3173,0,0,0,https://i.ytimg.com/vi/yfObh93krmE/default.jpg,True,False
1lGHZ5NMHRY,17.24.11,Holiday — Sway — Apple,Apple,28,2017-11-22T20:00:01.000Z,"airpods""|""airpods dancing ad""|""airpods snow ad""|""airpods holiday ad""|""airpods sway""|""apple""|""apple dancing ad""|""apple snow ad""|""apple holiday""|""apple holiday ad""|""apple sway""|""iphone""|""iphone dancing ad""|""iphone snow ad""|""iphone holiday""|""iphone holiday ad""|""iphone sway""|""iphone x""|""iphone x snow ad""|""iphone x holiday""|""iphone x holiday ad""|""iphone x sway""|""christopher grant""|""lauren yelango-grant""|""sam smith ad""|""sam smith palace""|""move someone this""|""holiday""|""sway",687321,21480,2345,0,https://i.ytimg.com/vi/1lGHZ5NMHRY/default.jpg,True,False
dEyBa888ZmE,17.24.11,Vienne : un homme fauché par un train alors qu'il fuyait la police,France 3 Auvergne-Rhône-Alpes,25,2017-11-22T17:52:42.000Z,"France3""|""France""|""Télévisions""|""Auvergne-Rhône-Alpes""|""#Police #Train""|""#Isère""|""#Justice",6300,26,5,0,https://i.ytimg.com/vi/dEyBa888ZmE/default.jpg,True,False
BNiSji1Y9UI,17.24.11,After Foot du mercredi 22/11 – Partie 2/4 - Débrief de PSG/Celtic Glasgow (7-1),AFTER FOOT,17,2017-11-22T23:37:11.000Z,"BFMSPORTBOOST""|""afterfoot""|""football""|""debat""|""strategie""|""reactions""|""gilbert brisbois""|""compte-rendus""|""sport""|""rmc""|""rmcsport""|""radio""|""opinion""|""daniel riolo""|""jerome rothen""|""psg""|""celtic""|""ldc",21198,0,0,0,https://i.ytimg.com/vi/BNiSji1Y9UI/default.jpg,True,False
GzfkqAMjqFs,17.25.11,Règlements de comptes à droite ! #cdanslair 24.11.2017,C dans l'air,24,2017-11-24T18:25:15.000Z,"droite""|""stefanini""|""fillon""|""macron""|""constructifs""|""melenchon""|""france insoumise""|""wauquiez",7070,28,15,0,https://i.ytimg.com/vi/GzfkqAMjqFs/default.jpg,True,False
TibPy9BTohE,17.25.11,Pourquoi je ne crois pas à la vaccination + le jus BCG ! - regenere.org,Regenere / Thierry Casasnovas,27,2017-11-24T06:17:22.000Z,"jeûne""|""fasting""|""cru""|""crudivore""|""frugivore""|""végétalien""|""végétarien""|""80/10/10""|""fruits""|""énergie""|""régénérer""|""détoxiner""|""régénération""|""détoxination""|""dépression""|""diabète""|""hypertension""|""vivrecru""|""thierry casasnovas""|""guérir""|""santé""|""raw food""|""low fat raw vegan""|""vegan""|""lifestyle",13519,646,145,0,https://i.ytimg.com/vi/TibPy9BTohE/default.jpg,True,False
cHqa6wmCX8w,17.25.11,"L'interview du Vendredi, épisode 1 - Rachid Eljay",Pr. Rachid Eljay chaine officielle 1,27,2017-11-24T19:12:40.000Z,"Rachid""|""Imam""|""El""|""jay""|""Abou""|""houdeyfa""|""Islam""|""Allah""|""mosquée""|""Brest""|""mort""|""musulman""|""tombe""|""tawhid""|""soeurs""|""mariage""|""divorce""|""dépression""|""angoisse""|""religion""|""soucis""|""Eljay""|""maliki""|""madhab""|""maroc""|""sunna""|""hadith""|""ccib""|""centre""|""culturel""|""paradis""|""enfer""|""hijab""|""voile""|""fiqh""|""'aquida""|""tafsir""|""hanifa""|""shafi'i""|""ahmed""|""aumone""|""invocation""|""média""|""imam""|""uoif""|""cfcm""|""prophète""|""Dieu""|""ange""|""jinn""|""sermon""|""conférence""|""tolérance""|""algérie""|""tunisie""|""sénegale",4981,621,9,0,https://i.ytimg.com/vi/cHqa6wmCX8w/default.jpg,True,False
TibPy9BTohE,17.26.11,Pourquoi je ne crois pas à la vaccination + le jus BCG ! - regenere.org,Regenere / Thierry Casasnovas,27,2017-11-24T06:17:22.000Z,"jeûne""|""fasting""|""cru""|""crudivore""|""frugivore""|""végétalien""|""végétarien""|""80/10/10""|""fruits""|""énergie""|""régénérer""|""détoxiner""|""régénération""|""détoxination""|""dépression""|""diabète""|""hypertension""|""vivrecru""|""thierry casasnovas""|""guérir""|""santé""|""raw food""|""low fat raw vegan""|""vegan""|""lifestyle",18414,754,157,0,https://i.ytimg.com/vi/TibPy9BTohE/default.jpg,True,False
NZO7JUnVcFM,17.27.11,Alain Finkielkraut - On n'est pas couché 25 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-26T00:46:58.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christina angot""|""alain finkielkraut""|""25 novembre 2017""|""en terrain miné",146549,0,0,0,https://i.ytimg.com/vi/NZO7JUnVcFM/default.jpg,True,False
36cY5b2Gqt4,17.27.11,Damien Viguier – La Syrie se libère !,ERTV Officiel,25,2017-11-26T13:04:36.000Z,"Syrie""|""Médias""|""Viguier",5909,0,0,0,https://i.ytimg.com/vi/36cY5b2Gqt4/default.jpg,True,False
f_nonyQadjg,17.27.11,L’ esprit d’escalier 26 Novembre 2017 / Alain Finkielkraut & Elisabeth Levy,RADIO RCJ,25,2017-11-26T11:34:49.000Z,[none],5965,0,0,0,https://i.ytimg.com/vi/f_nonyQadjg/default.jpg,True,False
